Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
41	16728	n/a	0	0	n/a	N	0	01	898	420	67.0	2.29	2.94	21293	756	n/a	3749	896	n/a	116	896	n/a	215	896	n/a	
42	16740	n/a	0	0	n/a	N	0	01	1147	602	100	3.10	4.26	23085	980	n/a	4313	1140	n/a	122	1144	n/a	241	1136	n/a	
43	16900	n/a	0	0	n/a	N	0	00	99	48.5	3.70	0.20	0.26	26277	72	n/a	2327	96	n/a	95	96	n/a	141	96	n/a	
44	17037	n/a	0	0	n/a	N	0	01	530	325	56.9	1.53	2.20	29752	388	n/a	7561	528	n/a	152	528	n/a	284	528	n/a	
45	17095	n/a	0	0	n/a	N	0	00	436	96.1	7.35	0.84	0.80	8529	0	n/a	973	436	n/a	78	436	n/a	99	436	n/a	
46	17100	n/a	0	0	n/a	N	0	00	305	249	46.7	1.07	1.58	36673	280	n/a	7660	304	n/a	159	304	n/a	331	304	n/a	
47	17148	n/a	0	0	n/a	N	0	11	1482	747	127	3.73	5.02	21111	1292	n/a	4171	1480	n/a	126	1480	n/a	235	1460	n/a	
48	17182	n/a	0	0	n/a	N	0	01	1180	544	85.4	2.89	3.50	20598	992	n/a	3557	1164	n/a	120	1180	n/a	205	1180	n/a	
49	17442	n/a	0	0	n/a	N	0	01	480	266	54.8	1.42	1.90	34820	372	n/a	8702	480	n/a	180	480	n/a	331	480	n/a	
50	17744	n/a	0	0	n/a	N	0	01	1052	553	92.6	2.92	4.16	22851	916	n/a	4467	1032	n/a	132	1052	n/a	251	1048	n/a	
51	17876	n/a	0	0	n/a	N	0	01	701	194	24.5	1.55	1.40	11218	292	n/a	1756	700	n/a	93	700	n/a	93	700	n/a	
52	17968	n/a	0	0	n/a	N	0	01	659	275	40.8	1.53	1.66	19243	524	n/a	3416	656	n/a	103	656	n/a	128	652	n/a	
53	18253	n/a	0	0	n/a	N	0	01	788	450	76.6	2.15	2.90	58885	688	n/a	11505	788	n/a	233	788	n/a	513	788	n/a	
54	18348	n/a	0	0	n/a	N	0	00	516	120	10.5	1.01	0.85	9576	0	n/a	1137	516	n/a	83	516	n/a	87	516	n/a	
55	18440	n/a	0	0	n/a	N	0	00	549	154	16.8	1.17	1.11	11446	248	n/a	1656	544	n/a	88	548	n/a	107	548	n/a	
56	18441	n/a	0	0	n/a	N	0	00	394	302	70.7	1.40	2.35	32328	364	n/a	9839	392	n/a	171	392	n/a	314	392	n/a	
57	18577	n/a	0	0	n/a	N	0	00	114	41.2	1.79	0.21	0.33	16630	80	n/a	947	112	n/a	79	112	n/a	151	112	n/a	
58	18577	n/a	0	0	n/a	N	0	00	559	117	4.02	0.99	0.79	9018	0	n/a	432	556	n/a	76	556	n/a	73	556	n/a	
59	18614	n/a	0	0	n/a	N	0	00	55	8.80	0.54	0.12	0.15	6967	0	n/a	505	52	n/a	92	52	n/a	114	52	n/a	
60	18654	n/a	0	0	n/a	N	0	01	668	746	148	2.69	5.32	59101	640	n/a	13690	668	n/a	229	668	n/a	510	668	n/a	
61	18978	n/a	0	0	n/a	N	0	00	363	77.2	5.23	0.60	0.53	8488	0	n/a	720	360	n/a	67	360	n/a	99	360	n/a	
62	18981	n/a	0	0	n/a	N	0	00	58	14.0	0.97	0.09	0.17	11132	20	n/a	809	56	n/a	63	56	n/a	127	56	n/a	
63	19064	n/a	0	0	n/a	N	0	01	689	234	28.3	1.50	1.40	16703	504	n/a	2869	688	n/a	96	688	n/a	107	688	n/a	
64	19347	n/a	0	0	n/a	N	0	00	372	106	14.0	0.75	0.76	27126	108	n/a	3912	372	n/a	109	372	n/a	158	372	n/a	
65	19526	n/a	0	0	n/a	N	0	01	1175	838	164	3.73	6.28	37847	1032	n/a	14541	1168	n/a	260	1172	n/a	635	1160	n/a	
66	19901	n/a	0	0	n/a	N	0	00	70	8.44	2.03	0.16	0.37	5620	0	n/a	1210	68	n/a	96	68	n/a	202	68	n/a	
67	20151	n/a	0	0	n/a	N	0	01	681	189	26.6	1.38	1.43	12129	232	n/a	2205	680	n/a	88	680	n/a	118	680	n/a	
68	20169	n/a	0	0	n/a	N	0	11	982	1687	621	12.9	56.0	65535	940	n/a	36825	980	n/a	755	980	n/a	3590	980	n/a	
69	20298	n/a	0	0	n/a	N	0	01	640	202	28.6	1.39	1.29	13727	336	n/a	2277	640	n/a	89	640	n/a	107	640	n/a	
70	20726	n/a	0	0	n/a	N	0	00	383	85.6	6.64	0.72	0.86	9260	0	n/a	922	380	n/a	79	380	n/a	141	380	n/a	
71	20763	n/a	0	0	n/a	N	0	00	373	118	12.6	0.80	0.93	17008	204	n/a	1931	372	n/a	103	372	n/a	138	372	n/a	
72	20995	n/a	0	0	n/a	N	0	01	500	781	142	2.86	6.96	65535	468	n/a	15478	500	n/a	301	500	n/a	913	500	n/a	
73	21395	n/a	0	0	n/a	N	0	00	74	13.1	1.06	0.16	0.27	7228	0	n/a	689	72	n/a	91	72	n/a	147	72	n/a	
74	21547	n/a	0	0	n/a	N	0	00	520	137	21.0	1.05	1.03	16514	208	n/a	3281	520	n/a	100	520	n/a	106	520	n/a	
75	21627	n/a	0	0	n/a	N	0	00	304	144	15.3	0.81	0.90	22613	244	n/a	3035	304	n/a	122	304	n/a	173	304	n/a	
76	21755	n/a	0	0	n/a	N	0	00	50	7.25	0.44	0.10	0.12	6165	0	n/a	413	48	n/a	85	48	n/a	105	48	n/a	
77	21773	n/a	0	0	n/a	N	0	01	833	296	40.2	1.79	1.76	14714	636	n/a	2310	832	n/a	90	832	n/a	102	832	n/a	
78	21877	n/a	0	0	n/a	N	0	01	1147	520	80.7	2.87	3.86	19455	968	n/a	3431	1144	n/a	110	1144	n/a	225	1144	n/a	
79	21898	n/a	0	0	n/a	N	0	11	1534	1332	244	5.17	8.88	40655	1428	n/a	7670	1532	n/a	156	1532	n/a	378	1532	n/a	
80	22004	n/a	0	0	n/a	N	0	11	1635	1258	199	4.97	9.22	49944	1520	n/a	10557	1600	n/a	191	1632	n/a	530	1564	n/a	
81	22098	n/a	0	0	n/a	N	0	01	641	690	131	2.69	5.22	63709	616	n/a	14637	640	n/a	258	640	n/a	695	640	n/a	
82	22165	n/a	0	0	n/a	N	0	00	464	114	10.8	0.86	0.73	9520	0	n/a	1060	464	n/a	84	464	n/a	80	464	n/a	
83	22347	n/a	0	0	n/a	N	0	11	2327	2998	624	13.8	58.7	55252	2224	n/a	16434	2324	n/a	466	2308	n/a	2934	2228	n/a	
84	22399	n/a	0	0	n/a	N	0	00	241	58.2	3.51	0.47	0.48	10421	20	n/a	806	240	n/a	86	240	n/a	94	240	n/a	
85	22640	n/a	0	0	n/a	N	0	00	518	138	14.7	1.03	0.94	11387	156	n/a	1455	516	n/a	90	516	n/a	91	516	n/a	
86	22646	n/a	0	0	n/a	N	0	01	678	218	28.2	1.45	1.32	12881	416	n/a	2158	676	n/a	92	676	n/a	98	676	n/a	
87	22710	n/a	0	0	n/a	N	0	00	488	136	14.0	0.97	0.92	11717	148	n/a	1367	488	n/a	83	488	n/a	92	488	n/a	
