Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	297	n/a	0	0	n/a	N	0	00	168	51.2	3.83	0.31	0.28	17606	72	n/a	2198	168	n/a	87	168	n/a	99	168	n/a	
2	422	n/a	0	0	n/a	N	0	01	399	506	88.6	1.82	3.61	65535	356	n/a	14046	396	n/a	250	396	n/a	601	396	n/a	
3	557	n/a	0	0	n/a	N	0	00	255	68.9	5.81	0.53	0.50	12637	64	n/a	1310	252	n/a	89	252	n/a	103	252	n/a	
4	572	n/a	0	0	n/a	N	0	00	105	44.8	2.63	0.19	0.40	19110	80	n/a	1284	104	n/a	73	104	n/a	176	104	n/a	
5	901	n/a	0	0	n/a	N	0	01	732	343	59.2	1.91	2.39	19209	608	n/a	3865	732	n/a	112	732	n/a	184	732	n/a	
6	951	n/a	0	0	n/a	N	0	00	225	59.2	3.01	0.42	0.31	12464	60	n/a	842	220	n/a	77	224	n/a	75	224	n/a	
7	951	n/a	0	0	n/a	N	0	01	951	545	80.8	2.64	3.67	49046	900	n/a	10902	948	n/a	191	948	n/a	374	948	n/a	
8	980	n/a	0	0	n/a	N	0	01	355	322	71.9	1.41	2.24	64196	240	n/a	15959	352	n/a	224	352	n/a	475	352	n/a	
9	1357	n/a	0	0	n/a	N	0	01	885	360	42.4	1.99	2.05	16535	756	n/a	2472	884	n/a	91	884	n/a	115	884	n/a	
10	1540	n/a	0	0	n/a	N	0	00	408	134	19.9	0.86	0.89	17572	296	n/a	3692	408	n/a	103	408	n/a	109	408	n/a	
11	1660	n/a	0	0	n/a	N	0	00	400	316	56.3	1.27	1.89	48772	332	n/a	10652	400	n/a	172	400	n/a	279	400	n/a	
12	1661	n/a	0	0	n/a	N	0	00	438	253	39.8	1.25	1.63	34867	380	n/a	6712	436	n/a	133	436	n/a	225	436	n/a	
13	1949	n/a	0	0	n/a	N	0	00	286	90.1	11.5	0.63	0.59	29442	100	n/a	4083	284	n/a	99	284	n/a	154	284	n/a	
14	2029	n/a	0	0	n/a	N	0	00	62	10.0	0.42	0.11	0.09	6973	0	n/a	410	60	n/a	73	60	n/a	64	60	n/a	
15	2043	n/a	0	0	n/a	N	0	00	364	109	14.7	0.67	0.65	18014	200	n/a	3352	364	n/a	77	364	n/a	94	364	n/a	
16	2118	n/a	0	0	n/a	N	0	00	82	29.9	2.89	0.20	0.24	17683	52	n/a	1934	80	n/a	100	80	n/a	135	80	n/a	
17	2140	n/a	0	0	n/a	N	0	00	213	74.3	3.67	0.47	0.44	22891	152	n/a	1945	212	n/a	97	212	n/a	133	212	n/a	
18	2241	n/a	0	0	n/a	N	0	00	288	73.1	7.78	0.57	0.54	10479	16	n/a	1132	288	n/a	93	288	n/a	96	288	n/a	
19	2456	n/a	0	0	n/a	N	0	00	404	121	14.1	0.82	0.81	11931	208	n/a	1640	404	n/a	91	404	n/a	94	404	n/a	
20	2529	n/a	0	0	n/a	N	0	01	593	209	32.6	1.45	1.66	15612	420	n/a	2586	592	n/a	113	592	n/a	144	592	n/a	
21	2531	n/a	0	0	n/a	N	0	00	213	53.3	3.59	0.37	0.35	12919	32	n/a	929	212	n/a	84	212	n/a	91	212	n/a	
22	2598	n/a	0	0	n/a	N	0	00	332	157	18.2	0.81	1.01	30201	216	n/a	4357	332	n/a	140	332	n/a	247	332	n/a	
23	2804	n/a	0	0	n/a	N	0	00	324	122	16.5	0.80	0.82	30336	160	n/a	5910	324	n/a	129	324	n/a	173	324	n/a	
24	3041	n/a	0	0	n/a	N	0	00	477	244	43.6	1.33	1.78	35279	360	n/a	7031	476	n/a	142	476	n/a	231	476	n/a	
25	3173	n/a	0	0	n/a	N	0	00	261	53.7	3.75	0.50	0.51	7733	0	n/a	717	260	n/a	83	260	n/a	101	260	n/a	
26	3354	n/a	0	0	n/a	N	0	01	644	412	78.5	2.03	3.14	51280	548	n/a	11187	644	n/a	228	644	n/a	481	644	n/a	
27	3448	n/a	0	0	n/a	N	0	00	340	112	13.6	0.69	0.72	21541	220	n/a	4562	340	n/a	101	340	n/a	134	340	n/a	
28	3551	n/a	0	0	n/a	N	0	01	607	194	26.4	1.43	1.37	13660	376	n/a	2171	596	n/a	97	604	n/a	121	604	n/a	
29	3558	n/a	0	0	n/a	N	0	00	498	208	35.1	1.25	1.43	28812	292	n/a	5745	496	n/a	143	496	n/a	194	496	n/a	
30	3652	n/a	0	0	n/a	N	0	01	953	598	93.2	2.68	3.87	50742	832	n/a	11824	952	n/a	216	952	n/a	483	952	n/a	
31	3698	n/a	0	0	n/a	N	0	00	138	69.0	6.13	0.30	0.33	22451	112	n/a	2059	136	n/a	88	136	n/a	116	136	n/a	
32	3833	n/a	0	0	n/a	N	0	00	481	142	14.3	0.96	1.08	11688	264	n/a	1518	480	n/a	95	480	n/a	139	480	n/a	
33	3923	n/a	0	0	n/a	N	0	00	136	41.1	2.28	0.29	0.34	13219	68	n/a	910	136	n/a	94	136	n/a	111	136	n/a	
34	3982	n/a	0	0	n/a	N	0	00	54	16.1	1.22	0.11	0.27	15257	28	n/a	1013	52	n/a	91	52	n/a	242	52	n/a	
35	4093	n/a	0	0	n/a	N	0	00	300	69.1	2.61	0.61	0.47	9122	0	n/a	509	288	n/a	83	300	n/a	72	300	n/a	
36	4113	n/a	0	0	n/a	N	0	01	527	229	39.7	1.26	1.65	18993	492	n/a	3371	524	n/a	109	524	n/a	180	524	n/a	
37	4165	n/a	0	0	n/a	N	0	00	324	102	15.3	0.81	0.89	14966	160	n/a	3113	324	n/a	115	324	n/a	164	324	n/a	
