Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
42	2348	n/a	0	0	n/a	N	0	00	298	58.1	2.14	0.55	0.58	8278	0	n/a	702	292	n/a	76	296	n/a	115	296	n/a	
43	2410	n/a	0	0	n/a	N	0	00	507	110	3.05	1.00	0.87	8756	0	n/a	372	504	n/a	86	504	n/a	83	504	n/a	
44	2506	n/a	0	0	n/a	N	0	00	55	7.54	1.05	0.11	0.16	5658	0	n/a	944	52	n/a	95	52	n/a	130	52	n/a	
45	2511	n/a	0	0	n/a	N	0	00	439	282	14.0	1.03	1.77	35933	360	n/a	2519	436	n/a	108	436	n/a	291	436	n/a	
46	2521	n/a	0	0	n/a	N	0	01	608	178	5.50	0.99	0.95	12746	268	n/a	629	584	n/a	79	608	n/a	91	608	n/a	
47	2597	n/a	0	0	n/a	N	0	00	538	179	113	1.99	1.67	28981	252	n/a	25498	536	n/a	296	536	n/a	267	536	n/a	
48	2678	n/a	0	0	n/a	N	0	00	67	18.6	1.58	0.12	0.24	12719	32	n/a	1261	64	n/a	72	64	n/a	190	64	n/a	
49	2732	n/a	0	0	n/a	N	0	11	1458	1036	78.1	3.53	6.00	30193	1300	n/a	2999	1424	n/a	113	1456	n/a	345	1404	n/a	
50	2827	n/a	0	0	n/a	N	0	01	808	501	29.1	1.83	2.50	65535	732	n/a	4762	800	n/a	138	808	n/a	327	808	n/a	
51	2919	n/a	0	0	n/a	N	0	01	609	172	5.56	1.08	0.96	11627	288	n/a	653	600	n/a	77	608	n/a	80	608	n/a	
52	2926	n/a	0	0	n/a	N	0	00	187	94.6	3.97	0.36	0.44	25711	132	n/a	1388	180	n/a	78	184	n/a	130	184	n/a	
53	3053	n/a	0	0	n/a	N	0	01	895	336	17.6	1.78	2.04	15069	728	n/a	1108	880	n/a	87	892	n/a	140	892	n/a	
54	3299	n/a	0	0	n/a	N	0	01	1015	388	15.3	2.00	2.05	15601	832	n/a	859	1012	n/a	88	1012	n/a	110	1012	n/a	
55	3335	n/a	0	0	n/a	N	0	01	1118	614	42.4	2.43	4.10	51998	644	n/a	4735	1060	n/a	155	1116	n/a	558	1112	n/a	
56	3412	n/a	0	0	n/a	N	0	01	786	223	8.80	1.48	1.53	12367	260	n/a	868	756	n/a	82	784	n/a	123	784	n/a	
57	3433	n/a	0	0	n/a	N	0	01	777	226	8.52	1.59	1.89	11467	412	n/a	742	776	n/a	85	776	n/a	163	776	n/a	
