Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	12	n/a	0	0	n/a	N	0	01	717	209	22.8	1.44	1.32	12168	300	n/a	1539	696	n/a	94	716	n/a	105	716	n/a	
2	65	n/a	0	0	n/a	N	0	01	976	397	59.9	2.24	2.50	17395	788	n/a	2934	960	n/a	108	976	n/a	149	976	n/a	
3	721	n/a	0	0	n/a	N	0	00	179	77.8	7.57	0.44	0.91	19408	148	n/a	2719	176	n/a	143	176	n/a	427	176	n/a	
4	819	n/a	0	0	n/a	N	0	00	330	304	86.6	1.58	2.74	46355	292	n/a	14761	328	n/a	230	328	n/a	420	328	n/a	
5	834	n/a	0	0	n/a	N	0	01	926	433	69.3	2.28	2.85	17983	820	n/a	3740	924	n/a	104	924	n/a	194	924	n/a	
6	914	n/a	0	0	n/a	N	0	01	1113	857	154	3.62	6.26	55161	988	n/a	12766	1112	n/a	224	1112	n/a	573	1076	n/a	
7	977	n/a	0	0	n/a	N	0	01	1344	511	101	3.29	3.41	17132	976	n/a	3668	1344	n/a	114	1344	n/a	144	1344	n/a	
8	1012	n/a	0	0	n/a	N	0	00	51	9.44	0.58	0.10	0.10	8346	0	n/a	535	48	n/a	86	48	n/a	93	48	n/a	
9	1346	n/a	0	0	n/a	N	0	00	218	29.5	3.22	0.40	0.27	7208	0	n/a	1018	216	n/a	75	216	n/a	60	216	n/a	
10	1355	n/a	0	0	n/a	N	0	11	1349	1159	124	3.59	5.62	62559	1112	n/a	9739	1336	n/a	161	1348	n/a	352	1344	n/a	
11	1432	n/a	0	0	n/a	N	0	01	1081	336	51.5	2.38	2.39	13372	664	n/a	2209	1080	n/a	94	1080	n/a	129	1080	n/a	
12	1433	n/a	0	0	n/a	N	0	00	134	41.6	1.72	0.26	0.28	13995	92	n/a	585	132	n/a	85	132	n/a	92	132	n/a	
13	1449	n/a	0	0	n/a	N	0	00	109	58.8	3.93	0.22	0.43	25879	84	n/a	1879	108	n/a	85	108	n/a	214	108	n/a	
14	1622	n/a	0	0	n/a	N	0	01	640	425	96.3	2.09	3.13	36414	604	n/a	11418	640	n/a	204	640	n/a	385	640	n/a	
15	1670	n/a	0	0	n/a	N	0	01	593	565	107	2.16	3.87	65535	472	n/a	16094	592	n/a	231	592	n/a	503	592	n/a	
16	1676	n/a	0	0	n/a	N	0	00	472	141	18.9	1.01	0.91	24808	136	n/a	5429	472	n/a	114	472	n/a	114	472	n/a	
17	1728	n/a	0	0	n/a	N	0	11	1353	866	160	3.92	6.11	26759	1184	n/a	5617	1332	n/a	131	1352	n/a	287	1268	n/a	
18	1783	n/a	0	0	n/a	N	0	01	862	307	46.0	1.87	1.90	15194	680	n/a	2562	860	n/a	93	860	n/a	107	860	n/a	
19	1917	n/a	0	0	n/a	N	0	01	585	185	25.7	1.35	1.27	13459	288	n/a	2035	584	n/a	98	584	n/a	113	584	n/a	
20	1941	n/a	0	0	n/a	N	0	11	1441	940	155	4.17	6.21	26838	1300	n/a	5490	1440	n/a	133	1440	n/a	262	1432	n/a	
21	1988	n/a	0	0	n/a	N	0	00	127	68.5	5.60	0.36	0.71	26239	100	n/a	2487	124	n/a	115	124	n/a	299	124	n/a	
22	1988	n/a	0	0	n/a	N	0	00	393	93.5	5.61	0.76	0.60	8712	0	n/a	776	392	n/a	80	392	n/a	81	392	n/a	
23	2079	n/a	0	0	n/a	N	0	01	868	331	48.8	1.96	1.93	15311	700	n/a	2776	868	n/a	99	868	n/a	106	868	n/a	
24	2144	n/a	0	0	n/a	N	0	11	2446	2996	701	14.9	69.9	61810	2336	n/a	16027	2420	n/a	534	2308	n/a	3440	2300	n/a	
25	2564	n/a	0	0	n/a	N	0	11	1349	874	161	4.06	6.24	28392	1188	n/a	6073	1348	n/a	143	1348	n/a	324	1344	n/a	
26	2621	n/a	0	0	n/a	N	0	01	830	289	41.2	1.82	1.86	14340	584	n/a	2263	828	n/a	99	828	n/a	113	828	n/a	
27	2669	n/a	0	0	n/a	N	0	01	1067	598	110	2.98	4.28	23274	988	n/a	4594	1064	n/a	115	1064	n/a	202	1064	n/a	
28	2723	n/a	0	0	n/a	N	0	11	1421	1021	175	4.59	8.50	29317	1372	n/a	6090	1420	n/a	142	1420	n/a	329	1412	n/a	
29	2833	n/a	0	0	n/a	N	0	00	107	49.7	4.07	0.28	0.67	22619	76	n/a	1933	104	n/a	110	104	n/a	322	104	n/a	
30	3049	n/a	0	0	n/a	N	0	01	892	254	47.3	2.04	2.01	15620	436	n/a	2644	892	n/a	104	892	n/a	140	892	n/a	
31	3059	n/a	0	0	n/a	N	0	01	879	327	50.2	1.94	2.08	15001	704	n/a	2657	876	n/a	104	876	n/a	126	876	n/a	
32	3200	n/a	0	0	n/a	N	0	11	1340	880	158	3.92	6.04	27116	1244	n/a	5586	1340	n/a	134	1340	n/a	293	1336	n/a	
33	3482	n/a	0	0	n/a	N	0	01	1213	457	89.9	2.92	3.38	18149	860	n/a	3365	1212	n/a	107	1212	n/a	145	1212	n/a	
34	3594	n/a	0	0	n/a	N	0	01	925	388	44.4	1.95	2.02	17220	764	n/a	2161	924	n/a	91	924	n/a	122	924	n/a	
35	3651	n/a	0	0	n/a	N	0	01	634	334	47.5	1.69	1.86	33782	532	n/a	6308	632	n/a	133	632	n/a	208	632	n/a	
36	3813	n/a	0	0	n/a	N	0	01	852	299	39.2	1.90	1.89	14615	596	n/a	2265	852	n/a	100	852	n/a	127	852	n/a	
37	3880	n/a	0	0	n/a	N	0	00	206	58.5	4.31	0.41	0.45	12652	72	n/a	1131	204	n/a	86	204	n/a	102	204	n/a	
38	4062	n/a	0	0	n/a	N	0	00	329	171	18.7	0.78	0.80	38142	212	n/a	4483	328	n/a	108	328	n/a	172	328	n/a	
39	4131	n/a	0	0	n/a	N	0	00	259	125	18.9	0.67	0.76	35703	128	n/a	6323	256	n/a	132	256	n/a	222	256	n/a	
40	4187	n/a	0	0	n/a	N	0	00	536	158	18.3	1.06	1.05	15791	188	n/a	1946	536	n/a	88	536	n/a	118	536	n/a	
41	4227	n/a	0	0	n/a	N	0	01	927	781	168	3.30	5.60	40664	884	n/a	13581	924	n/a	222	924	n/a	493	924	n/a	
42	4382	n/a	0	0	n/a	N	0	01	1252	373	76.5	2.86	2.98	15839	600	n/a	2810	1252	n/a	107	1252	n/a	141	1252	n/a	
43	4641	n/a	0	0	n/a	N	0	00	47	7.60	1.10	0.09	0.17	7055	0	n/a	1285	44	n/a	86	44	n/a	171	44	n/a	
44	4652	n/a	0	0	n/a	N	0	01	686	261	39.8	1.65	1.74	16072	556	n/a	3098	684	n/a	101	684	n/a	132	684	n/a	
45	4805	n/a	0	0	n/a	N	0	01	690	202	20.1	1.46	1.37	12007	344	n/a	1538	680	n/a	93	688	n/a	111	688	n/a	
46	4813	n/a	0	0	n/a	N	0	00	489	122	11.2	1.02	0.87	10938	128	n/a	1059	488	n/a	90	488	n/a	91	488	n/a	
47	4815	n/a	0	0	n/a	N	0	01	883	363	57.3	2.12	2.36	20913	768	n/a	3553	880	n/a	97	880	n/a	133	880	n/a	
48	4881	n/a	0	0	n/a	N	0	01	1146	557	98.7	3.06	3.87	19406	1024	n/a	4087	1124	n/a	111	1144	n/a	206	1144	n/a	
49	4974	n/a	0	0	n/a	N	0	11	1243	1052	215	4.36	8.72	41338	1136	n/a	13912	1232	n/a	264	1240	n/a	834	1172	n/a	
50	5099	n/a	0	0	n/a	N	0	01	964	314	33.0	2.06	1.98	14040	576	n/a	1880	964	n/a	88	964	n/a	99	964	n/a	
51	5163	n/a	0	0	n/a	N	0	01	752	297	47.2	1.65	1.79	16005	616	n/a	4031	752	n/a	116	752	n/a	127	752	n/a	
52	5520	n/a	0	0	n/a	N	0	00	356	187	26.3	0.86	1.14	34364	272	n/a	5952	356	n/a	119	356	n/a	247	356	n/a	
53	5619	n/a	0	0	n/a	N	0	11	2925	3205	785	15.8	61.2	65535	2832	n/a	15015	2924	n/a	362	2912	n/a	2152	2908	n/a	
54	5646	n/a	0	0	n/a	N	0	01	1006	474	82.0	2.46	2.89	19370	872	n/a	3728	1004	n/a	112	1004	n/a	156	1004	n/a	
55	5657	n/a	0	0	n/a	N	0	01	601	229	53.2	1.64	1.99	43157	292	n/a	9327	600	n/a	161	600	n/a	299	600	n/a	
56	5739	n/a	0	0	n/a	N	0	11	1396	880	156	3.92	6.00	25925	1240	n/a	5301	1372	n/a	132	1396	n/a	304	1348	n/a	
57	5852	n/a	0	0	n/a	N	0	00	504	214	40.6	1.36	1.58	18359	424	n/a	4702	504	n/a	125	504	n/a	167	504	n/a	
58	5907	n/a	0	0	n/a	N	0	01	974	823	162	3.43	6.25	62766	916	n/a	16668	972	n/a	286	972	n/a	849	964	n/a	
59	5916	n/a	0	0	n/a	N	0	11	1547	1111	211	4.70	7.17	41166	1468	n/a	8086	1544	n/a	145	1544	n/a	375	1544	n/a	
60	5920	n/a	0	0	n/a	N	0	00	436	215	41.4	1.28	1.56	27488	340	n/a	5933	436	n/a	132	436	n/a	218	436	n/a	
61	6030	n/a	0	0	n/a	N	0	00	358	155	23.1	0.83	0.92	29575	240	n/a	5988	356	n/a	130	356	n/a	206	356	n/a	
62	6186	n/a	0	0	n/a	N	0	01	875	419	76.9	2.16	2.49	27087	708	n/a	8645	852	n/a	161	872	n/a	198	872	n/a	
63	6244	n/a	0	0	n/a	N	0	00	284	56.0	4.47	0.57	0.55	7671	0	n/a	914	280	n/a	88	284	n/a	86	284	n/a	
64	6289	n/a	0	0	n/a	N	0	01	552	423	71.3	1.82	2.87	48697	500	n/a	10944	552	n/a	186	552	n/a	386	552	n/a	
65	6306	n/a	0	0	n/a	N	0	01	634	174	18.9	1.39	1.30	10763	188	n/a	1540	624	n/a	97	632	n/a	99	632	n/a	
66	6576	n/a	0	0	n/a	N	0	01	1265	732	179	3.94	6.62	62437	932	n/a	16009	1264	n/a	282	1264	n/a	782	1264	n/a	
67	6677	n/a	0	0	n/a	N	0	01	521	380	70.3	1.75	2.66	36823	436	n/a	9049	520	n/a	170	520	n/a	331	520	n/a	
68	6696	n/a	0	0	n/a	N	0	01	1045	819	156	3.47	6.04	65252	916	n/a	16139	1024	n/a	273	1044	n/a	776	1044	n/a	
69	6747	n/a	0	0	n/a	N	0	01	937	310	32.4	1.85	1.64	12854	704	n/a	1644	928	n/a	84	936	n/a	96	936	n/a	
70	6854	n/a	0	0	n/a	N	0	00	346	128	16.0	0.77	0.80	20282	200	n/a	3786	340	n/a	102	344	n/a	144	344	n/a	
71	6871	n/a	0	0	n/a	N	0	01	1022	517	89.4	2.68	3.05	21472	880	n/a	4347	1020	n/a	114	1020	n/a	173	1020	n/a	
72	6968	n/a	0	0	n/a	N	0	01	480	519	114	2.29	4.05	54910	452	n/a	14893	480	n/a	254	480	n/a	470	480	n/a	
73	7058	n/a	0	0	n/a	N	0	01	1253	513	96.6	3.22	3.93	22068	1028	n/a	4639	1248	n/a	117	1252	n/a	225	1228	n/a	
74	7118	n/a	0	0	n/a	N	0	01	453	292	45.5	1.39	1.75	34319	376	n/a	6956	452	n/a	175	452	n/a	239	452	n/a	
75	7138	n/a	0	0	n/a	N	0	00	184	58.3	3.90	0.35	0.44	14926	104	n/a	1071	184	n/a	78	184	n/a	105	184	n/a	
76	7139	n/a	0	0	n/a	N	0	00	489	139	17.8	1.01	0.99	11846	148	n/a	1753	488	n/a	92	488	n/a	113	488	n/a	
77	7237	n/a	0	0	n/a	N	0	01	1133	670	135	3.33	5.00	33033	996	n/a	8569	1132	n/a	161	1132	n/a	323	1132	n/a	
78	7320	n/a	0	0	n/a	N	0	00	365	94.3	13.4	0.75	0.72	11997	60	n/a	2198	364	n/a	85	364	n/a	88	364	n/a	
79	7492	n/a	0	0	n/a	N	0	01	813	551	137	3.00	5.11	42154	668	n/a	13655	800	n/a	235	812	n/a	547	812	n/a	
80	7583	n/a	0	0	n/a	N	0	01	1475	616	95.9	3.42	3.92	17686	1244	n/a	3169	1444	n/a	108	1472	n/a	165	1468	n/a	
81	7601	n/a	0	0	n/a	N	0	01	1063	557	92.9	2.73	3.24	40683	980	n/a	8435	1060	n/a	146	1060	n/a	250	1060	n/a	
82	7809	n/a	0	0	n/a	N	0	11	1814	1198	217	5.56	9.48	30020	1704	n/a	6958	1812	n/a	150	1812	n/a	392	1764	n/a	
83	7975	n/a	0	0	n/a	N	0	01	570	170	21.5	1.32	1.13	12196	256	n/a	1802	568	n/a	95	568	n/a	104	568	n/a	
84	8070	n/a	0	0	n/a	N	0	00	252	147	31.3	0.78	1.26	44876	140	n/a	11927	252	n/a	209	252	n/a	388	252	n/a	
85	8223	n/a	0	0	n/a	N	0	11	1412	1174	205	4.56	8.67	48854	1300	n/a	11571	1400	n/a	227	1412	n/a	550	1328	n/a	
86	8424	n/a	0	0	n/a	N	0	01	606	271	48.9	1.39	1.56	54261	328	n/a	12873	604	n/a	212	604	n/a	317	600	n/a	
87	8447	n/a	0	0	n/a	N	0	01	808	569	105	2.50	4.07	52641	740	n/a	9969	808	n/a	197	808	n/a	393	808	n/a	
88	8516	n/a	0	0	n/a	N	0	11	1462	1113	189	4.69	8.78	37900	1344	n/a	6555	1444	n/a	162	1460	n/a	366	1400	n/a	
89	8636	n/a	0	0	n/a	N	0	01	602	155	14.6	1.07	1.04	11263	156	n/a	1299	600	n/a	82	600	n/a	95	600	n/a	
90	8693	n/a	0	0	n/a	N	0	01	868	391	71.5	2.21	2.79	30239	680	n/a	9585	868	n/a	173	868	n/a	326	868	n/a	
91	8889	n/a	0	0	n/a	N	0	00	466	247	49.1	1.42	1.68	23343	428	n/a	7402	464	n/a	153	464	n/a	217	464	n/a	
92	8992	n/a	0	0	n/a	N	0	00	471	160	19.8	1.02	0.96	21251	168	n/a	3548	460	n/a	105	468	n/a	179	468	n/a	
93	9000	n/a	0	0	n/a	N	0	01	586	180	21.2	1.29	1.23	12472	360	n/a	1798	584	n/a	95	584	n/a	101	584	n/a	
94	9075	n/a	0	0	n/a	N	0	00	473	208	32.5	1.27	1.53	27978	292	n/a	6376	472	n/a	163	472	n/a	316	472	n/a	
95	9091	n/a	0	0	n/a	N	0	01	697	678	138	2.74	4.96	63139	592	n/a	14975	696	n/a	246	696	n/a	541	696	n/a	
96	9109	n/a	0	0	n/a	N	0	01	645	539	94.4	2.06	2.82	38491	620	n/a	10870	644	n/a	201	644	n/a	302	644	n/a	
97	9159	n/a	0	0	n/a	N	0	01	1118	517	89.6	2.88	3.53	20759	876	n/a	4374	1116	n/a	128	1116	n/a	204	1116	n/a	
98	9168	n/a	0	0	n/a	N	0	00	111	59.3	4.70	0.24	0.70	24971	88	n/a	2239	108	n/a	90	108	n/a	323	108	n/a	
99	9229	n/a	0	0	n/a	N	0	00	268	104	9.79	0.54	0.52	26032	140	n/a	3524	268	n/a	105	268	n/a	112	268	n/a	
100	9439	n/a	0	0	n/a	N	0	00	479	132	16.1	1.00	0.95	14556	152	n/a	2658	476	n/a	91	476	n/a	97	476	n/a	
101	9589	n/a	0	0	n/a	N	0	01	1065	945	181	3.98	7.68	50128	972	n/a	13211	1064	n/a	230	1064	n/a	544	1064	n/a	
102	9725	n/a	0	0	n/a	N	0	00	142	24.9	1.68	0.21	0.18	7387	0	n/a	666	140	n/a	64	140	n/a	64	140	n/a	
103	9725	n/a	0	0	n/a	N	0	00	69	24.1	3.53	0.14	0.15	17438	44	n/a	2676	68	n/a	86	68	n/a	110	68	n/a	
104	9730	n/a	0	0	n/a	N	0	00	543	169	22.4	1.09	1.04	25000	148	n/a	4875	536	n/a	110	540	n/a	150	540	n/a	
105	9732	n/a	0	0	n/a	N	0	01	831	744	188	3.60	7.30	65535	704	n/a	23577	828	n/a	371	828	n/a	951	820	n/a	
106	9876	n/a	0	0	n/a	N	0	01	583	446	80.1	1.95	3.35	38172	456	n/a	10147	580	n/a	199	580	n/a	435	580	n/a	
107	10053	n/a	0	0	n/a	N	0	00	187	64.3	4.42	0.38	0.37	18624	108	n/a	1663	180	n/a	87	184	n/a	111	184	n/a	
108	10096	n/a	0	0	n/a	N	0	00	253	82.0	9.12	0.56	0.50	13873	188	n/a	1993	252	n/a	97	252	n/a	106	252	n/a	
109	10288	n/a	0	0	n/a	N	0	01	813	296	40.7	1.90	2.15	15415	560	n/a	2453	812	n/a	99	812	n/a	172	812	n/a	
110	10309	n/a	0	0	n/a	N	0	01	698	293	49.6	1.93	2.23	18684	608	n/a	4346	696	n/a	128	696	n/a	160	696	n/a	
111	10428	n/a	0	0	n/a	N	0	00	368	73.2	5.17	0.61	0.51	7645	0	n/a	812	368	n/a	76	368	n/a	76	368	n/a	
112	10461	n/a	0	0	n/a	N	0	00	85	10.3	0.36	0.14	0.10	5508	0	n/a	250	84	n/a	70	84	n/a	63	84	n/a	
113	10507	n/a	0	0	n/a	N	0	01	823	296	40.6	1.89	1.88	15152	644	n/a	2693	816	n/a	98	820	n/a	119	820	n/a	
114	10632	n/a	0	0	n/a	N	0	01	557	433	95.3	2.11	3.71	56513	388	n/a	15393	556	n/a	250	556	n/a	627	556	n/a	
115	10652	n/a	0	0	n/a	N	0	00	66	14.4	1.55	0.17	0.32	10221	8	n/a	1114	64	n/a	104	64	n/a	218	64	n/a	
116	10668	n/a	0	0	n/a	N	0	00	261	79.8	5.19	0.56	0.61	14384	112	n/a	1289	260	n/a	99	260	n/a	114	260	n/a	
117	10873	n/a	0	0	n/a	N	0	00	440	148	19.3	0.86	0.93	20103	220	n/a	4040	440	n/a	105	440	n/a	196	440	n/a	
118	11185	n/a	0	0	n/a	N	0	01	1066	479	79.3	2.62	2.71	20187	912	n/a	3739	1060	n/a	112	1064	n/a	171	1064	n/a	
119	11193	n/a	0	0	n/a	N	0	01	884	777	163	3.28	5.95	65535	788	n/a	14410	884	n/a	240	884	n/a	506	880	n/a	
120	11197	n/a	0	0	n/a	N	0	01	721	234	29.2	1.58	1.48	14167	480	n/a	2166	716	n/a	98	720	n/a	107	720	n/a	
121	11286	n/a	0	0	n/a	N	0	11	2109	2478	452	12.4	73.9	65535	2008	n/a	12502	2068	n/a	538	2092	n/a	4156	1924	n/a	
122	11501	n/a	0	0	n/a	N	0	01	514	394	73.2	1.67	2.28	39661	488	n/a	9596	512	n/a	176	512	n/a	310	512	n/a	
123	11633	n/a	0	0	n/a	N	0	01	628	211	31.2	1.41	1.45	13690	440	n/a	2152	628	n/a	95	628	n/a	113	628	n/a	
124	11669	n/a	0	0	n/a	N	0	00	408	245	49.0	1.23	1.77	42652	288	n/a	7980	408	n/a	154	408	n/a	273	408	n/a	
125	11724	n/a	0	0	n/a	N	0	00	444	162	23.1	0.98	0.99	24424	236	n/a	5739	444	n/a	122	444	n/a	145	444	n/a	
126	11753	n/a	0	0	n/a	N	0	01	726	237	31.2	1.56	1.51	13485	496	n/a	2168	704	n/a	99	724	n/a	107	724	n/a	
127	11800	n/a	0	0	n/a	N	0	01	1020	381	59.5	2.40	2.51	16969	764	n/a	3183	1008	n/a	108	1020	n/a	152	1020	n/a	
128	11918	n/a	0	0	n/a	N	0	01	639	371	59.4	1.75	2.29	49254	496	n/a	8947	632	n/a	187	636	n/a	364	636	n/a	
129	11941	n/a	0	0	n/a	N	0	11	1496	987	179	4.24	6.93	25509	1368	n/a	5518	1488	n/a	123	1496	n/a	300	1488	n/a	
130	11945	n/a	0	0	n/a	N	0	00	525	166	19.7	1.11	0.96	15568	276	n/a	3256	524	n/a	99	524	n/a	94	524	n/a	
131	11980	n/a	0	0	n/a	N	0	01	870	611	120	2.92	5.03	58605	700	n/a	12923	868	n/a	232	868	n/a	598	868	n/a	
