Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	258	n/a	0	0	n/a	N	0	01	691	337	216	2.93	2.74	49049	456	n/a	37709	688	n/a	411	688	n/a	497	688	n/a	
2	4515	n/a	0	0	n/a	N	0	00	493	117	36.4	1.04	0.80	10070	20	n/a	3499	492	n/a	95	492	n/a	94	492	n/a	
3	5496	n/a	0	0	n/a	N	0	00	185	75.0	34.3	0.64	0.56	20230	136	n/a	9876	184	n/a	144	184	n/a	149	184	n/a	
4	8020	n/a	0	0	n/a	N	0	11	1694	579	265	4.84	3.90	15323	1224	n/a	8343	1692	n/a	134	1692	n/a	144	1688	n/a	
5	8246	n/a	0	0	n/a	N	0	00	369	86.1	40.2	0.93	0.70	8658	0	n/a	4676	368	n/a	105	368	n/a	89	368	n/a	
6	8518	n/a	0	0	n/a	N	0	00	190	66.4	20.3	0.47	0.39	19157	100	n/a	6043	188	n/a	109	188	n/a	115	188	n/a	
7	9544	n/a	0	0	n/a	N	0	01	1378	416	322	4.82	3.74	15253	664	n/a	14576	1376	n/a	196	1376	n/a	181	1376	n/a	
8	9993	n/a	0	0	n/a	N	0	00	53	7.53	0.31	0.09	0.09	5802	0	n/a	289	52	n/a	69	52	n/a	82	52	n/a	
9	10565	n/a	0	0	n/a	N	0	01	846	543	423	5.05	4.53	57565	660	n/a	52425	844	n/a	554	844	n/a	615	844	n/a	
10	10577	n/a	0	0	n/a	N	0	00	340	84.4	34.0	0.86	0.68	16136	52	n/a	8598	340	n/a	135	340	n/a	115	340	n/a	
11	10591	n/a	0	0	n/a	N	0	00	276	231	218	2.42	1.93	42271	224	n/a	46537	276	n/a	461	276	n/a	393	276	n/a	
12	10977	n/a	0	0	n/a	N	0	00	504	113	66.8	1.49	1.10	8971	0	n/a	6037	504	n/a	130	504	n/a	121	504	n/a	
13	10981	n/a	0	0	n/a	N	0	00	263	101	35.7	0.80	0.67	18528	176	n/a	9452	260	n/a	160	260	n/a	140	260	n/a	
14	11357	n/a	0	0	n/a	N	0	01	541	369	349	3.90	3.36	38623	444	n/a	46704	540	n/a	444	540	n/a	433	540	n/a	
15	11481	n/a	0	0	n/a	N	0	01	481	234	204	2.59	1.93	31524	296	n/a	41046	480	n/a	447	480	n/a	337	480	n/a	
16	12535	n/a	0	0	n/a	N	0	01	792	307	351	4.25	3.01	15882	644	n/a	24529	792	n/a	268	792	n/a	199	792	n/a	
17	12536	n/a	0	0	n/a	N	0	01	733	314	298	3.65	2.66	15903	684	n/a	16110	732	n/a	207	732	n/a	181	732	n/a	
18	13099	n/a	0	0	n/a	N	0	01	1108	331	217	3.48	2.63	11492	632	n/a	8631	1108	n/a	139	1108	n/a	125	1108	n/a	
19	13392	n/a	0	0	n/a	N	0	01	954	490	337	4.63	5.07	25105	904	n/a	16306	952	n/a	209	952	n/a	353	952	n/a	
20	13802	n/a	0	0	n/a	N	0	00	72	12.1	0.86	0.12	0.19	7183	0	n/a	513	72	n/a	66	72	n/a	122	72	n/a	
21	14852	n/a	0	0	n/a	N	0	01	823	355	378	4.50	3.55	17444	740	n/a	24269	820	n/a	249	820	n/a	211	820	n/a	
22	15119	n/a	0	0	n/a	N	0	00	432	162	78.8	1.57	1.35	31123	280	n/a	21162	432	n/a	269	432	n/a	247	432	n/a	
23	15684	n/a	0	0	n/a	N	0	00	503	149	109	1.89	1.46	12401	312	n/a	10690	500	n/a	161	500	n/a	136	500	n/a	
24	16135	n/a	0	0	n/a	N	0	01	600	253	182	2.56	1.96	20487	472	n/a	16277	600	n/a	201	600	n/a	168	600	n/a	
25	16412	n/a	0	0	n/a	N	0	00	224	109	70.5	0.99	0.80	30652	180	n/a	24529	224	n/a	252	224	n/a	283	224	n/a	
26	16560	n/a	0	0	n/a	N	0	00	217	57.3	19.5	0.54	0.64	16268	40	n/a	7173	216	n/a	110	216	n/a	160	216	n/a	
27	16976	n/a	0	0	n/a	N	0	01	819	319	122	2.49	2.20	15868	692	n/a	6122	816	n/a	128	816	n/a	132	816	n/a	
28	17059	n/a	0	0	n/a	N	0	01	975	383	272	3.79	2.78	27118	748	n/a	36758	972	n/a	363	972	n/a	297	972	n/a	
29	17204	n/a	0	0	n/a	N	0	00	269	72.7	17.4	0.61	0.46	13601	60	n/a	4054	268	n/a	97	268	n/a	77	268	n/a	
30	17494	n/a	0	0	n/a	N	0	00	343	120	137	1.75	1.30	13058	304	n/a	22089	340	n/a	255	340	n/a	180	340	n/a	
31	17526	n/a	0	0	n/a	N	0	01	732	298	297	3.73	2.82	19579	564	n/a	22853	732	n/a	264	732	n/a	207	732	n/a	
32	17629	n/a	0	0	n/a	N	0	01	609	205	191	2.63	1.86	20008	392	n/a	27030	608	n/a	295	608	n/a	217	608	n/a	
33	17653	n/a	0	0	n/a	N	0	00	368	147	84.6	1.36	1.11	26608	244	n/a	20619	368	n/a	244	368	n/a	205	368	n/a	
34	17765	n/a	0	0	n/a	N	0	00	298	85.1	41.2	0.91	0.79	14672	96	n/a	10403	296	n/a	149	296	n/a	164	296	n/a	
35	18538	n/a	0	0	n/a	N	0	00	485	157	148	2.05	1.53	14053	340	n/a	15469	484	n/a	184	484	n/a	157	484	n/a	
36	18564	n/a	0	0	n/a	N	0	00	141	19.2	3.15	0.28	0.36	5520	0	n/a	1221	140	n/a	80	140	n/a	134	140	n/a	
37	18858	n/a	0	0	n/a	N	0	00	260	111	73.4	1.09	0.89	24298	180	n/a	22268	260	n/a	265	260	n/a	228	260	n/a	
38	19460	n/a	0	0	n/a	N	0	01	584	306	350	3.98	3.19	34330	548	n/a	50785	584	n/a	531	584	n/a	439	584	n/a	
39	19751	n/a	0	0	n/a	N	0	01	675	418	605	6.45	5.45	24582	636	n/a	65535	672	n/a	672	672	n/a	523	672	n/a	
40	19973	n/a	0	0	n/a	N	0	01	836	328	257	3.49	2.72	17687	656	n/a	17053	836	n/a	216	836	n/a	202	836	n/a	
41	20025	n/a	0	0	n/a	N	0	00	351	137	113	1.57	1.19	27777	240	n/a	30520	348	n/a	355	348	n/a	229	348	n/a	
