Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	39	n/a	0	0	n/a	N	0	00	324	179	45.7	0.95	0.90	33438	296	n/a	9308	324	n/a	147	324	n/a	173	324	n/a	
2	42	n/a	0	0	n/a	N	0	00	449	249	83.4	1.52	1.44	38056	340	n/a	15641	448	n/a	208	448	n/a	227	448	n/a	
3	47	n/a	0	0	n/a	N	0	00	279	76.4	3.28	0.53	0.74	13530	76	n/a	937	260	n/a	78	276	n/a	183	276	n/a	
4	55	n/a	0	0	n/a	N	0	01	551	284	114	1.98	2.07	26937	524	n/a	16106	548	n/a	215	548	n/a	218	548	n/a	
5	84	n/a	0	0	n/a	N	0	00	518	156	31.7	1.09	0.83	17179	220	n/a	5411	516	n/a	110	516	n/a	108	516	n/a	
6	135	n/a	0	0	n/a	N	0	01	1026	351	191	3.40	3.50	26647	520	n/a	12072	1024	n/a	173	1024	n/a	238	1024	n/a	
7	147	n/a	0	0	n/a	N	0	11	1775	2003	1035	15.9	57.5	65535	1540	n/a	51064	1772	n/a	787	1700	n/a	2683	1620	n/a	
8	170	n/a	0	0	n/a	N	0	01	436	323	124	1.78	2.04	33410	396	n/a	17927	436	n/a	230	436	n/a	288	436	n/a	
9	198	n/a	0	0	n/a	N	0	00	534	160	27.5	1.19	0.99	13062	280	n/a	2489	524	n/a	92	532	n/a	92	532	n/a	
10	219	n/a	0	0	n/a	N	0	00	428	231	96.1	1.57	1.63	49601	248	n/a	23942	428	n/a	286	428	n/a	367	428	n/a	
11	222	n/a	0	0	n/a	N	0	00	373	85.6	7.33	0.70	0.53	9192	0	n/a	975	372	n/a	77	372	n/a	87	372	n/a	
12	241	n/a	0	0	n/a	N	0	00	121	49.0	5.82	0.32	0.48	19893	76	n/a	3022	120	n/a	113	120	n/a	187	120	n/a	
13	336	n/a	0	0	n/a	N	0	01	1032	572	237	3.96	5.05	22633	876	n/a	14459	1032	n/a	196	1032	n/a	259	1032	n/a	
14	372	n/a	0	0	n/a	N	0	00	182	123	5.67	0.37	0.75	38413	156	n/a	1725	180	n/a	95	180	n/a	223	180	n/a	
15	373	n/a	0	0	n/a	N	0	00	483	134	13.7	0.94	0.86	11278	164	n/a	1414	480	n/a	80	480	n/a	84	480	n/a	
16	470	n/a	0	0	n/a	N	0	00	291	63.9	2.36	0.49	0.47	11002	28	n/a	492	284	n/a	75	288	n/a	86	288	n/a	
17	505	n/a	0	0	n/a	N	0	00	176	66.6	2.40	0.36	0.49	21626	92	n/a	1068	164	n/a	89	176	n/a	162	176	n/a	
18	553	n/a	0	0	n/a	N	0	01	722	296	101	2.21	2.22	16355	580	n/a	6571	720	n/a	129	720	n/a	160	720	n/a	
19	560	n/a	0	0	n/a	N	0	00	199	77.7	2.23	0.36	0.52	22964	108	n/a	697	196	n/a	83	196	n/a	170	196	n/a	
20	560	n/a	0	0	n/a	N	0	00	239	100	19.5	0.58	0.53	19990	196	n/a	6451	236	n/a	117	236	n/a	141	236	n/a	
21	661	n/a	0	0	n/a	N	0	00	309	128	11.2	0.71	0.67	23360	188	n/a	2643	308	n/a	101	308	n/a	129	308	n/a	
22	698	n/a	0	0	n/a	N	0	00	275	78.2	3.77	0.56	0.74	13468	84	n/a	1012	272	n/a	97	272	n/a	172	272	n/a	
23	711	n/a	0	0	n/a	N	0	00	52	9.68	0.45	0.11	0.12	8015	0	n/a	439	52	n/a	76	52	n/a	101	52	n/a	
24	732	n/a	0	0	n/a	N	0	01	666	176	48.3	1.45	1.18	12048	188	n/a	3801	664	n/a	90	664	n/a	98	664	n/a	
25	733	n/a	0	0	n/a	N	0	00	460	141	26.3	0.94	0.82	12108	276	n/a	2773	460	n/a	81	460	n/a	88	460	n/a	
26	735	n/a	0	0	n/a	N	0	01	604	204	58.9	1.61	1.41	13519	468	n/a	4255	604	n/a	121	604	n/a	127	604	n/a	
27	784	n/a	0	0	n/a	N	0	00	105	18.1	0.52	0.19	0.15	7046	0	n/a	317	104	n/a	73	104	n/a	66	104	n/a	
28	799	n/a	0	0	n/a	N	0	00	472	240	83.0	1.53	1.49	37649	356	n/a	14502	472	n/a	195	472	n/a	241	472	n/a	
29	813	n/a	0	0	n/a	N	0	01	497	254	72.7	1.51	1.66	27675	384	n/a	15259	496	n/a	213	496	n/a	293	496	n/a	
30	841	n/a	0	0	n/a	N	0	00	440	139	23.7	1.10	1.06	14437	292	n/a	2687	440	n/a	102	440	n/a	122	440	n/a	
31	881	n/a	0	0	n/a	N	0	01	755	373	167	2.87	3.30	30062	680	n/a	14784	752	n/a	210	752	n/a	311	752	n/a	
32	890	n/a	0	0	n/a	N	0	00	508	219	44.2	1.31	1.29	29110	480	n/a	6203	508	n/a	135	508	n/a	161	508	n/a	
33	905	n/a	0	0	n/a	N	0	00	176	68.5	6.42	0.37	0.35	21049	112	n/a	2972	176	n/a	112	176	n/a	113	176	n/a	
34	920	n/a	0	0	n/a	N	0	01	697	205	28.8	1.41	1.28	16665	312	n/a	2479	696	n/a	94	696	n/a	122	696	n/a	
35	925	n/a	0	0	n/a	N	0	01	415	428	215	2.74	3.37	46116	388	n/a	34393	412	n/a	399	412	n/a	506	412	n/a	
36	1003	n/a	0	0	n/a	N	0	01	802	340	125	2.52	2.80	16919	664	n/a	10329	800	n/a	164	800	n/a	244	800	n/a	
37	1026	n/a	0	0	n/a	N	0	01	553	248	95.4	1.86	1.77	26380	504	n/a	18059	552	n/a	242	552	n/a	268	552	n/a	
38	1081	n/a	0	0	n/a	N	0	01	638	198	45.6	1.37	1.17	13597	364	n/a	4130	636	n/a	93	636	n/a	101	636	n/a	
39	1084	n/a	0	0	n/a	N	0	01	549	165	52.6	1.43	1.23	14811	268	n/a	7187	548	n/a	143	548	n/a	129	548	n/a	
40	1105	n/a	0	0	n/a	N	0	01	546	268	95.6	1.65	1.60	27642	392	n/a	14642	540	n/a	190	544	n/a	247	544	n/a	
41	1111	n/a	0	0	n/a	N	0	00	100	19.6	0.71	0.18	0.16	7917	0	n/a	302	100	n/a	71	100	n/a	70	100	n/a	
42	1112	n/a	0	0	n/a	N	0	00	191	89.7	3.75	0.42	0.58	28550	104	n/a	1733	188	n/a	104	188	n/a	186	188	n/a	
43	1158	n/a	0	0	n/a	N	0	00	224	68.9	1.93	0.44	0.53	18892	72	n/a	735	224	n/a	84	224	n/a	162	224	n/a	
44	1162	n/a	0	0	n/a	N	0	01	904	466	201	3.29	3.38	20445	816	n/a	12499	904	n/a	176	904	n/a	194	904	n/a	
45	1256	n/a	0	0	n/a	N	0	00	512	134	16.4	0.99	0.83	11013	124	n/a	1665	512	n/a	92	512	n/a	87	512	n/a	
46	1283	n/a	0	0	n/a	N	0	01	632	382	196	2.78	3.13	59557	484	n/a	46570	632	n/a	493	632	n/a	575	632	n/a	
47	1297	n/a	0	0	n/a	N	0	00	280	127	21.3	0.71	0.70	23585	152	n/a	4173	280	n/a	114	280	n/a	130	280	n/a	
48	1309	n/a	0	0	n/a	N	0	00	476	98.8	10.6	0.89	0.69	9062	0	n/a	1158	476	n/a	80	476	n/a	86	476	n/a	
49	1361	n/a	0	0	n/a	N	0	01	1148	381	74.5	2.64	2.58	14158	860	n/a	3859	1148	n/a	109	1148	n/a	131	1148	n/a	
50	1381	n/a	0	0	n/a	N	0	00	261	70.8	3.44	0.52	0.86	11135	64	n/a	955	260	n/a	87	260	n/a	198	260	n/a	
51	1399	n/a	0	0	n/a	N	0	00	551	153	30.2	1.18	1.03	11223	184	n/a	2459	548	n/a	93	548	n/a	95	548	n/a	
52	1401	n/a	0	0	n/a	N	0	00	127	50.7	1.56	0.22	0.39	19428	88	n/a	737	120	n/a	78	124	n/a	153	124	n/a	
53	1416	n/a	0	0	n/a	N	0	00	428	209	51.7	1.32	1.25	26143	312	n/a	8287	428	n/a	159	428	n/a	155	428	n/a	
54	1453	n/a	0	0	n/a	N	0	01	801	806	371	4.91	7.04	61332	732	n/a	34348	800	n/a	394	800	n/a	667	800	n/a	
55	1485	n/a	0	0	n/a	N	0	01	931	304	88.6	2.47	2.30	13716	592	n/a	4806	928	n/a	117	928	n/a	145	928	n/a	
56	1510	n/a	0	0	n/a	N	0	00	95	17.1	0.89	0.13	0.08	7335	0	n/a	393	92	n/a	60	92	n/a	42	92	n/a	
57	1510	n/a	0	0	n/a	N	0	00	105	35.7	4.15	0.17	0.17	17147	76	n/a	1810	104	n/a	64	104	n/a	81	104	n/a	
