Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	286	n/a	0	0	n/a	N	0	00	396	80.4	6.52	0.95	0.82	9146	0	n/a	875	396	n/a	95	396	n/a	93	396	n/a	
2	305	n/a	0	0	n/a	N	0	01	649	531	96.7	2.21	3.78	55315	568	n/a	13046	648	n/a	225	648	n/a	571	648	n/a	
3	325	n/a	0	0	n/a	N	0	00	92	39.4	3.20	0.21	0.20	20329	68	n/a	1786	92	n/a	90	92	n/a	106	92	n/a	
4	423	n/a	0	0	n/a	N	0	01	461	322	50.6	1.41	1.85	29536	420	n/a	6879	460	n/a	158	460	n/a	220	460	n/a	
5	491	n/a	0	0	n/a	N	0	00	276	59.5	3.51	0.46	0.39	14774	36	n/a	1419	252	n/a	80	276	n/a	90	276	n/a	
6	642	n/a	0	0	n/a	N	0	01	936	295	45.8	2.09	2.08	14946	532	n/a	2400	936	n/a	94	936	n/a	141	936	n/a	
7	645	n/a	0	0	n/a	N	0	00	108	43.1	3.30	0.20	0.24	17885	80	n/a	1626	108	n/a	81	108	n/a	106	108	n/a	
8	802	n/a	0	0	n/a	N	0	00	94	13.4	0.46	0.15	0.10	6329	0	n/a	290	92	n/a	63	92	n/a	60	92	n/a	
9	802	n/a	0	0	n/a	N	0	00	49	5.81	0.18	0.09	0.05	5494	0	n/a	235	48	n/a	75	48	n/a	49	48	n/a	
10	826	n/a	0	0	n/a	N	0	00	374	82.6	3.38	0.64	0.49	8540	0	n/a	555	356	n/a	76	372	n/a	74	372	n/a	
11	838	n/a	0	0	n/a	N	0	11	1724	1333	248	6.07	13.6	38054	1632	n/a	8287	1724	n/a	178	1724	n/a	621	1716	n/a	
12	841	n/a	0	0	n/a	N	0	01	886	436	92.8	2.50	3.35	30588	688	n/a	11518	884	n/a	201	884	n/a	381	884	n/a	
13	849	n/a	0	0	n/a	N	0	01	794	311	40.9	1.69	1.68	15925	656	n/a	2482	784	n/a	93	792	n/a	109	792	n/a	
14	921	n/a	0	0	n/a	N	0	01	696	304	55.5	1.85	2.25	21800	588	n/a	8065	696	n/a	165	696	n/a	243	696	n/a	
15	921	n/a	0	0	n/a	N	0	01	982	754	139	3.30	6.14	38311	892	n/a	8442	980	n/a	158	980	n/a	419	980	n/a	
16	923	n/a	0	0	n/a	N	0	00	247	106	8.67	0.48	0.48	22667	156	n/a	2449	244	n/a	90	244	n/a	115	244	n/a	
17	1048	n/a	0	0	n/a	N	0	01	904	500	81.4	2.40	3.70	44264	784	n/a	9471	892	n/a	173	904	n/a	412	892	n/a	
