Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	297	n/a	0	0	n/a	N	0	00	464	128	12.7	0.91	0.74	10671	172	n/a	1325	464	n/a	83	464	n/a	87	464	n/a	
2	340	n/a	0	0	n/a	N	0	01	610	424	79.9	1.92	2.71	49137	504	n/a	12614	608	n/a	206	608	n/a	331	608	n/a	
3	349	n/a	0	0	n/a	N	0	01	695	227	33.4	1.57	1.59	13753	472	n/a	2170	692	n/a	99	692	n/a	119	692	n/a	
4	406	n/a	0	0	n/a	N	0	00	433	185	29.2	1.03	1.17	20525	344	n/a	3745	432	n/a	106	432	n/a	170	432	n/a	
5	418	n/a	0	0	n/a	N	0	00	511	150	16.4	0.92	0.89	12459	256	n/a	1748	508	n/a	82	508	n/a	93	508	n/a	
6	469	n/a	0	0	n/a	N	0	00	314	36.4	5.44	0.62	0.50	6315	0	n/a	811	312	n/a	84	312	n/a	89	312	n/a	
7	500	n/a	0	0	n/a	N	0	00	514	144	16.2	1.03	0.94	11344	164	n/a	1585	512	n/a	82	512	n/a	86	512	n/a	
8	564	n/a	0	0	n/a	N	0	01	1196	628	111	3.22	4.51	25162	1020	n/a	5096	1196	n/a	124	1196	n/a	238	1196	n/a	
9	585	n/a	0	0	n/a	N	0	01	603	163	21.2	1.18	1.08	12022	196	n/a	1610	600	n/a	83	600	n/a	95	600	n/a	
10	592	n/a	0	0	n/a	N	0	00	108	41.2	4.15	0.26	0.24	16602	80	n/a	1791	108	n/a	95	108	n/a	108	108	n/a	
11	672	n/a	0	0	n/a	N	0	01	878	463	74.5	2.25	2.86	20571	816	n/a	4044	876	n/a	106	876	n/a	213	876	n/a	
12	803	n/a	0	0	n/a	N	0	00	85	32.7	3.40	0.18	0.20	18305	56	n/a	2229	84	n/a	96	84	n/a	103	84	n/a	
13	822	n/a	0	0	n/a	N	0	00	409	94.1	7.75	0.76	0.56	8625	0	n/a	1010	408	n/a	76	408	n/a	71	408	n/a	
14	852	n/a	0	0	n/a	N	0	01	662	202	26.1	1.45	1.38	13525	404	n/a	2003	660	n/a	89	660	n/a	113	660	n/a	
15	866	n/a	0	0	n/a	N	0	00	484	157	19.6	1.11	1.07	17804	308	n/a	2929	484	n/a	97	484	n/a	115	484	n/a	
16	870	n/a	0	0	n/a	N	0	00	364	185	31.0	0.94	1.15	21501	320	n/a	5135	364	n/a	115	364	n/a	186	364	n/a	
17	945	n/a	0	0	n/a	N	0	00	527	135	11.9	1.07	0.93	10465	84	n/a	1248	524	n/a	90	524	n/a	102	524	n/a	
18	972	n/a	0	0	n/a	N	0	00	465	236	39.8	1.26	1.57	39148	392	n/a	7467	464	n/a	144	464	n/a	210	464	n/a	
19	1062	n/a	0	0	n/a	N	0	01	948	468	84.0	2.52	3.35	20379	832	n/a	4398	948	n/a	110	948	n/a	267	948	n/a	
20	1199	n/a	0	0	n/a	N	0	00	272	103	11.8	0.70	0.73	18767	164	n/a	3414	272	n/a	116	272	n/a	162	272	n/a	
21	1257	n/a	0	0	n/a	N	0	01	716	201	20.8	1.50	1.30	11554	276	n/a	1714	708	n/a	90	716	n/a	99	716	n/a	
22	1258	n/a	0	0	n/a	N	0	01	454	261	39.3	1.15	1.57	43320	384	n/a	7319	452	n/a	148	452	n/a	283	452	n/a	
