Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	101	n/a	0	0	n/a	N	0	00	380	137	36.8	0.99	0.86	22889	252	n/a	8540	380	n/a	144	380	n/a	178	380	n/a	
2	126	n/a	0	0	n/a	N	0	00	256	74.8	46.3	0.82	0.64	19619	64	n/a	20359	256	n/a	235	256	n/a	228	256	n/a	
3	128	n/a	0	0	n/a	N	0	00	531	155	61.7	1.36	1.02	12668	256	n/a	5353	528	n/a	103	528	n/a	100	528	n/a	
4	129	n/a	0	0	n/a	N	0	00	225	97.6	48.5	0.79	0.66	24638	136	n/a	13982	224	n/a	179	224	n/a	178	224	n/a	
5	131	n/a	0	0	n/a	N	0	00	367	166	74.7	1.29	1.13	29057	260	n/a	15490	364	n/a	217	364	n/a	207	364	n/a	
6	143	n/a	0	0	n/a	N	0	00	324	114	40.9	0.96	0.81	18015	252	n/a	7895	324	n/a	129	324	n/a	110	324	n/a	
7	167	n/a	0	0	n/a	N	0	00	400	178	114	1.78	1.60	18722	336	n/a	21472	400	n/a	261	400	n/a	244	400	n/a	
8	213	n/a	0	0	n/a	N	0	11	1223	1004	419	5.97	7.88	48176	1200	n/a	25695	1220	n/a	287	1220	n/a	481	1220	n/a	
9	215	n/a	0	0	n/a	N	0	00	293	109	56.1	1.06	0.97	20584	196	n/a	12840	292	n/a	191	292	n/a	182	292	n/a	
10	253	n/a	0	0	n/a	N	0	00	377	108	30.6	0.87	0.74	12548	144	n/a	4383	376	n/a	113	376	n/a	95	376	n/a	
11	315	n/a	0	0	n/a	N	0	00	359	122	83.8	1.34	1.14	31477	108	n/a	27170	356	n/a	322	356	n/a	286	356	n/a	
12	320	n/a	0	0	n/a	N	0	01	656	264	133	2.33	2.54	16936	556	n/a	9899	656	n/a	154	656	n/a	207	656	n/a	
13	409	n/a	0	0	n/a	N	0	00	317	209	150	1.94	2.26	55454	220	n/a	53520	316	n/a	575	316	n/a	723	316	n/a	
14	419	n/a	0	0	n/a	N	0	00	407	175	123	1.78	1.62	20007	284	n/a	20927	404	n/a	261	404	n/a	277	404	n/a	
15	456	n/a	0	0	n/a	N	0	00	438	175	50.2	1.33	1.39	23207	312	n/a	10295	436	n/a	160	436	n/a	230	436	n/a	
16	491	n/a	0	0	n/a	N	0	00	227	102	66.6	1.00	0.93	24254	148	n/a	16863	224	n/a	223	224	n/a	212	224	n/a	
17	501	n/a	0	0	n/a	N	0	01	570	194	93.9	1.75	1.45	13828	436	n/a	8628	568	n/a	152	568	n/a	139	568	n/a	
18	513	n/a	0	0	n/a	N	0	00	298	107	22.2	0.63	0.60	19051	140	n/a	5957	296	n/a	109	296	n/a	147	296	n/a	
19	522	n/a	0	0	n/a	N	0	00	183	88.9	45.3	0.74	0.66	23465	156	n/a	10414	180	n/a	161	180	n/a	156	180	n/a	
20	532	n/a	0	0	n/a	N	0	00	346	178	58.1	1.11	1.34	27132	248	n/a	13182	344	n/a	190	344	n/a	271	344	n/a	
21	563	n/a	0	0	n/a	N	0	00	402	119	56.3	1.13	0.88	13141	204	n/a	9310	400	n/a	128	400	n/a	112	400	n/a	
22	597	n/a	0	0	n/a	N	0	00	526	192	101	1.75	1.49	14482	404	n/a	8797	524	n/a	135	524	n/a	133	524	n/a	
23	614	n/a	0	0	n/a	N	0	00	254	107	60.5	1.06	0.93	26769	168	n/a	15718	252	n/a	220	252	n/a	217	252	n/a	
24	651	n/a	0	0	n/a	N	0	01	756	252	143	2.46	2.17	14096	476	n/a	9254	756	n/a	147	756	n/a	174	756	n/a	
25	670	n/a	0	0	n/a	N	0	00	345	112	51.2	1.05	0.93	17370	228	n/a	13608	344	n/a	192	344	n/a	169	344	n/a	
26	676	n/a	0	0	n/a	N	0	00	319	138	64.1	1.15	1.02	23265	184	n/a	14672	316	n/a	188	316	n/a	200	316	n/a	
27	706	n/a	0	0	n/a	N	0	00	369	175	93.8	1.45	1.39	28744	264	n/a	20878	368	n/a	267	368	n/a	311	368	n/a	
28	733	n/a	0	0	n/a	N	0	00	309	108	36.4	0.88	0.80	13742	264	n/a	7683	308	n/a	118	308	n/a	117	308	n/a	
29	778	n/a	0	0	n/a	N	0	00	57	9.35	0.78	0.10	0.20	6260	0	n/a	660	56	n/a	72	56	n/a	169	56	n/a	
30	799	n/a	0	0	n/a	N	0	00	71	13.3	0.73	0.12	0.21	8915	0	n/a	581	68	n/a	84	68	n/a	140	68	n/a	
31	804	n/a	0	0	n/a	N	0	00	407	260	221	2.62	2.89	26761	380	n/a	30604	404	n/a	361	404	n/a	405	404	n/a	
32	804	n/a	0	0	n/a	N	0	00	151	48.0	8.15	0.40	0.94	14962	96	n/a	2576	148	n/a	108	148	n/a	263	148	n/a	
33	807	n/a	0	0	n/a	N	0	00	68	25.6	8.29	0.20	0.17	19943	40	n/a	7234	68	n/a	131	68	n/a	129	68	n/a	
34	815	n/a	0	0	n/a	N	0	01	581	187	90.1	1.78	1.48	13071	392	n/a	7299	580	n/a	133	580	n/a	128	580	n/a	
35	843	n/a	0	0	n/a	N	0	01	679	235	146	2.47	2.06	14520	512	n/a	9603	676	n/a	162	676	n/a	157	676	n/a	
36	870	n/a	0	0	n/a	N	0	01	644	200	94.0	1.81	1.40	13000	380	n/a	7180	644	n/a	132	644	n/a	105	644	n/a	
37	871	n/a	0	0	n/a	N	0	01	671	258	120	2.08	1.78	15187	580	n/a	8506	668	n/a	140	668	n/a	130	668	n/a	
38	903	n/a	0	0	n/a	N	0	01	517	338	211	2.74	2.83	47771	460	n/a	39218	516	n/a	417	516	n/a	371	516	n/a	
39	904	n/a	0	0	n/a	N	0	00	495	180	96.7	1.78	1.57	16212	356	n/a	9486	492	n/a	168	492	n/a	164	492	n/a	
40	908	n/a	0	0	n/a	N	0	01	872	371	164	2.80	2.94	19479	756	n/a	8890	872	n/a	131	872	n/a	188	872	n/a	
41	911	n/a	0	0	n/a	N	0	01	673	223	90.8	2.00	1.67	13995	428	n/a	7116	672	n/a	130	672	n/a	115	672	n/a	
42	926	n/a	0	0	n/a	N	0	00	368	108	50.3	1.11	0.88	14729	124	n/a	13033	368	n/a	173	368	n/a	130	368	n/a	
43	950	n/a	0	0	n/a	N	0	00	355	79.1	22.3	0.72	0.59	8882	0	n/a	3044	352	n/a	93	352	n/a	108	352	n/a	
44	1017	n/a	0	0	n/a	N	0	00	363	100	43.1	1.01	0.79	10630	156	n/a	6149	360	n/a	117	360	n/a	117	360	n/a	
45	1032	n/a	0	0	n/a	N	0	00	319	68.5	12.5	0.67	0.47	8687	0	n/a	2016	316	n/a	91	316	n/a	72	316	n/a	
46	1045	n/a	0	0	n/a	N	0	00	370	125	55.7	1.09	0.89	13918	280	n/a	8433	368	n/a	134	368	n/a	115	368	n/a	
47	1094	n/a	0	0	n/a	N	0	00	132	23.2	2.12	0.24	0.16	7226	0	n/a	841	132	n/a	76	132	n/a	64	132	n/a	
48	1094	n/a	0	0	n/a	N	0	00	82	23.6	3.55	0.16	0.15	15988	36	n/a	2897	80	n/a	86	80	n/a	101	80	n/a	
49	1133	n/a	0	0	n/a	N	0	00	424	268	206	2.66	2.63	27605	396	n/a	30257	424	n/a	367	424	n/a	426	424	n/a	
50	1146	n/a	0	0	n/a	N	0	00	174	70.2	44.1	0.71	0.64	19677	140	n/a	14818	172	n/a	194	172	n/a	200	172	n/a	
51	1153	n/a	0	0	n/a	N	0	00	406	103	35.8	1.02	0.85	10363	68	n/a	5387	404	n/a	114	404	n/a	115	404	n/a	
52	1179	n/a	0	0	n/a	N	0	00	89	13.8	5.81	0.19	0.16	6889	0	n/a	2816	88	n/a	84	88	n/a	85	88	n/a	
53	1179	n/a	0	0	n/a	N	0	00	205	55.2	24.6	0.54	0.49	12115	48	n/a	5754	204	n/a	105	204	n/a	135	204	n/a	
54	1186	n/a	0	0	n/a	N	0	00	497	154	69.7	1.46	1.16	13963	228	n/a	7253	496	n/a	127	496	n/a	122	496	n/a	
55	1205	n/a	0	0	n/a	N	0	00	283	110	58.2	0.99	0.93	34332	152	n/a	16887	280	n/a	217	280	n/a	199	280	n/a	
56	1205	n/a	0	0	n/a	N	0	00	80	20.0	8.77	0.20	0.20	11138	28	n/a	5336	80	n/a	109	80	n/a	111	80	n/a	
57	1227	n/a	0	0	n/a	N	0	11	1769	2042	452	10.5	45.2	47495	1692	n/a	14428	1768	n/a	324	1768	n/a	1825	1736	n/a	
58	1239	n/a	0	0	n/a	N	0	01	760	383	233	3.30	3.26	35141	652	n/a	33872	760	n/a	376	760	n/a	386	760	n/a	
59	1313	n/a	0	0	n/a	N	0	01	632	250	147	2.32	2.27	16349	532	n/a	10196	632	n/a	154	632	n/a	169	632	n/a	
60	1313	n/a	0	0	n/a	N	0	00	263	106	38.9	0.83	0.75	19161	172	n/a	10052	260	n/a	157	260	n/a	160	260	n/a	
61	1320	n/a	0	0	n/a	N	0	00	148	94.5	60.9	0.83	0.76	32509	120	n/a	18791	148	n/a	225	148	n/a	242	148	n/a	
62	1335	n/a	0	0	n/a	N	0	00	210	107	51.6	0.78	0.65	28179	184	n/a	15282	208	n/a	205	208	n/a	204	208	n/a	
63	1338	n/a	0	0	n/a	N	0	00	453	126	30.9	1.05	0.89	11310	136	n/a	3537	452	n/a	101	452	n/a	102	452	n/a	
64	1369	n/a	0	0	n/a	N	0	00	286	68.7	12.8	0.63	0.51	9077	0	n/a	1873	284	n/a	88	284	n/a	89	284	n/a	
65	1390	n/a	0	0	n/a	N	0	00	290	60.3	12.5	0.66	0.51	8329	0	n/a	1950	288	n/a	88	288	n/a	79	288	n/a	
