Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	161	n/a	0	0	n/a	N	0	00	212	48.4	2.70	0.44	0.51	13830	48	n/a	921	212	n/a	79	212	n/a	132	212	n/a	
2	201	n/a	0	0	n/a	N	0	00	66	12.4	1.17	0.14	0.20	8048	0	n/a	911	64	n/a	92	64	n/a	130	64	n/a	
3	217	n/a	0	0	n/a	N	0	00	274	122	16.3	0.67	0.82	35724	112	n/a	5510	272	n/a	131	272	n/a	222	272	n/a	
4	229	n/a	0	0	n/a	N	0	00	99	54.6	14.9	0.72	3.50	27681	72	n/a	8206	96	n/a	371	96	n/a	1881	96	n/a	
5	232	n/a	0	0	n/a	N	0	00	421	110	7.68	0.72	0.59	10999	80	n/a	1082	420	n/a	72	420	n/a	78	420	n/a	
6	297	n/a	0	0	n/a	N	0	01	687	304	44.0	1.68	1.74	24501	600	n/a	3680	684	n/a	105	684	n/a	129	684	n/a	
7	580	n/a	0	0	n/a	N	0	00	63	13.7	0.67	0.12	0.19	10323	8	n/a	611	60	n/a	80	60	n/a	135	60	n/a	
8	640	n/a	0	0	n/a	N	0	00	102	34.4	0.90	0.19	0.23	17589	56	n/a	560	100	n/a	75	100	n/a	102	100	n/a	
9	683	n/a	0	0	n/a	N	0	00	322	79.7	4.58	0.64	0.59	9460	0	n/a	691	320	n/a	80	320	n/a	81	320	n/a	
10	712	n/a	0	0	n/a	N	0	00	91	34.0	1.61	0.19	0.22	17939	60	n/a	963	88	n/a	86	88	n/a	123	88	n/a	
11	734	n/a	0	0	n/a	N	0	00	347	151	20.6	0.77	0.81	24272	272	n/a	4793	344	n/a	111	344	n/a	173	344	n/a	
12	766	n/a	0	0	n/a	N	0	00	84	20.1	0.75	0.15	0.16	11539	20	n/a	508	84	n/a	77	84	n/a	81	84	n/a	
13	766	n/a	0	0	n/a	N	0	00	42	7.00	0.24	0.08	0.06	7420	0	n/a	257	40	n/a	78	40	n/a	64	40	n/a	
14	999	n/a	0	0	n/a	N	0	01	579	174	15.2	1.20	1.07	12120	276	n/a	1331	576	n/a	87	576	n/a	85	576	n/a	
15	1122	n/a	0	0	n/a	N	0	00	406	106	7.95	0.85	0.83	10392	92	n/a	948	404	n/a	88	404	n/a	106	404	n/a	
16	1271	n/a	0	0	n/a	N	0	00	403	153	15.7	0.90	1.12	27079	252	n/a	2739	400	n/a	109	400	n/a	194	400	n/a	
17	1394	n/a	0	0	n/a	N	0	00	386	115	9.54	0.73	0.62	14584	240	n/a	1462	376	n/a	77	384	n/a	84	384	n/a	
18	1474	n/a	0	0	n/a	N	0	00	316	112	17.8	0.65	0.73	13707	264	n/a	3838	316	n/a	92	316	n/a	163	316	n/a	
19	1489	n/a	0	0	n/a	N	0	01	557	277	35.8	1.37	1.50	36672	436	n/a	5186	556	n/a	124	556	n/a	166	556	n/a	
20	1495	n/a	0	0	n/a	N	0	01	522	353	64.0	1.77	2.70	43298	352	n/a	10434	520	n/a	201	520	n/a	411	520	n/a	
21	1667	n/a	0	0	n/a	N	0	00	435	168	24.1	1.03	1.13	25965	360	n/a	4377	432	n/a	107	432	n/a	172	432	n/a	
22	1892	n/a	0	0	n/a	N	0	01	664	185	21.5	1.41	1.25	11785	228	n/a	1643	660	n/a	85	664	n/a	106	664	n/a	
23	1926	n/a	0	0	n/a	N	0	00	448	163	24.0	0.98	0.99	23498	280	n/a	5274	448	n/a	131	448	n/a	176	448	n/a	
24	1972	n/a	0	0	n/a	N	0	01	538	312	65.3	1.61	2.27	28054	456	n/a	9148	536	n/a	188	536	n/a	427	536	n/a	
25	1990	n/a	0	0	n/a	N	0	00	343	207	23.5	0.88	0.94	32379	296	n/a	4779	340	n/a	113	340	n/a	188	340	n/a	
26	2219	n/a	0	0	n/a	N	0	00	296	86.7	5.51	0.59	0.49	15522	120	n/a	1151	296	n/a	77	296	n/a	83	296	n/a	
27	2327	n/a	0	0	n/a	N	0	01	539	195	29.2	1.30	1.28	21452	376	n/a	5685	532	n/a	129	536	n/a	186	536	n/a	
28	2351	n/a	0	0	n/a	N	0	01	500	324	39.6	1.34	1.61	44535	464	n/a	6027	500	n/a	119	500	n/a	198	500	n/a	
29	2661	n/a	0	0	n/a	N	0	00	382	96.2	6.96	0.83	0.75	10255	20	n/a	954	380	n/a	93	380	n/a	91	380	n/a	
30	2699	n/a	0	0	n/a	N	0	00	314	116	10.1	0.68	0.63	16787	192	n/a	1886	312	n/a	92	312	n/a	97	312	n/a	
31	2863	n/a	0	0	n/a	N	0	00	515	114	8.36	1.01	0.91	8706	0	n/a	907	504	n/a	84	512	n/a	103	512	n/a	
32	2917	n/a	0	0	n/a	N	0	00	426	105	7.66	0.83	0.72	14134	80	n/a	1062	424	n/a	83	424	n/a	98	424	n/a	
33	2954	n/a	0	0	n/a	N	0	00	442	115	7.37	0.80	0.69	10528	44	n/a	898	440	n/a	78	440	n/a	79	440	n/a	
34	3070	n/a	0	0	n/a	N	0	00	410	147	15.4	0.88	0.85	19466	288	n/a	2015	408	n/a	93	408	n/a	108	408	n/a	
35	3319	n/a	0	0	n/a	N	0	00	108	47.4	213	46.9	29.8	20741	76	n/a	65535	108	n/a	21914	108	n/a	13959	108	n/a	
36	3365	n/a	0	0	n/a	N	0	01	1047	278	26.7	2.00	1.59	10735	200	n/a	1308	1044	n/a	81	1044	n/a	94	1044	n/a	
37	3373	n/a	0	0	n/a	N	0	00	222	90.9	5.57	0.41	0.43	20393	164	n/a	1580	220	n/a	89	220	n/a	130	220	n/a	
38	3402	n/a	0	0	n/a	N	0	00	482	155	15.6	0.95	0.85	23094	216	n/a	2221	480	n/a	86	480	n/a	102	480	n/a	
39	3444	n/a	0	0	n/a	N	0	01	650	255	37.5	1.56	1.52	15790	548	n/a	3777	648	n/a	105	648	n/a	114	648	n/a	
40	3539	n/a	0	0	n/a	N	0	01	931	404	68.8	2.22	2.45	17476	784	n/a	3408	928	n/a	102	928	n/a	173	928	n/a	
41	3648	n/a	0	0	n/a	N	0	00	449	167	23.7	1.05	1.02	17933	348	n/a	3418	448	n/a	102	448	n/a	110	448	n/a	
42	3832	n/a	0	0	n/a	N	0	11	1467	980	172	4.31	6.36	29710	1364	n/a	6561	1464	n/a	152	1464	n/a	327	1456	n/a	
43	3912	n/a	0	0	n/a	N	0	00	72	26.4	0.82	0.15	0.14	19119	44	n/a	647	72	n/a	77	72	n/a	92	72	n/a	
44	3919	n/a	0	0	n/a	N	0	00	326	146	16.9	0.66	0.75	38645	132	n/a	4559	324	n/a	107	324	n/a	201	324	n/a	
45	3949	n/a	0	0	n/a	N	0	00	278	125	10.4	0.60	0.66	34976	144	n/a	2949	276	n/a	105	276	n/a	180	276	n/a	
46	4199	n/a	0	0	n/a	N	0	00	376	165	15.5	0.68	0.72	24194	316	n/a	2798	376	n/a	82	376	n/a	118	376	n/a	
47	4234	n/a	0	0	n/a	N	0	01	562	416	76.2	1.88	2.68	51345	492	n/a	11077	560	n/a	217	560	n/a	463	560	n/a	
48	4304	n/a	0	0	n/a	N	0	11	2087	2649	603	12.3	47.0	65535	2048	n/a	13717	2072	n/a	367	2040	n/a	1967	2040	n/a	
49	4335	n/a	0	0	n/a	N	0	00	350	90.9	5.91	0.64	0.60	12461	28	n/a	1037	348	n/a	81	348	n/a	87	348	n/a	
50	4396	n/a	0	0	n/a	N	0	01	479	262	39.6	1.25	1.48	33191	444	n/a	6037	476	n/a	125	476	n/a	191	476	n/a	
51	4420	n/a	0	0	n/a	N	0	00	49	8.75	0.29	0.08	0.06	7787	0	n/a	325	48	n/a	72	48	n/a	56	48	n/a	
52	4710	n/a	0	0	n/a	N	0	01	645	253	40.6	1.65	1.94	22393	540	n/a	7796	644	n/a	151	644	n/a	233	644	n/a	
53	4945	n/a	0	0	n/a	N	0	00	244	61.8	8.89	0.50	0.44	12048	60	n/a	1644	244	n/a	87	244	n/a	109	244	n/a	
54	4945	n/a	0	0	n/a	N	0	00	348	158	25.1	0.94	1.16	30804	292	n/a	5922	348	n/a	141	348	n/a	255	348	n/a	
55	5041	n/a	0	0	n/a	N	0	00	68	23.1	1.29	0.12	0.12	16920	40	n/a	897	68	n/a	77	68	n/a	78	68	n/a	
56	5067	n/a	0	0	n/a	N	0	00	63	12.8	0.44	0.10	0.11	8746	0	n/a	351	60	n/a	75	60	n/a	92	60	n/a	
57	5192	n/a	0	0	n/a	N	0	01	580	266	51.7	1.47	1.60	19730	516	n/a	7427	580	n/a	143	580	n/a	193	580	n/a	
58	5306	n/a	0	0	n/a	N	0	00	270	103	8.36	0.56	0.48	22683	124	n/a	2533	268	n/a	96	268	n/a	95	268	n/a	
59	5367	n/a	0	0	n/a	N	0	00	520	150	16.8	1.11	1.08	12315	220	n/a	1592	516	n/a	92	520	n/a	117	520	n/a	
60	5371	n/a	0	0	n/a	N	0	00	91	33.3	3.49	0.21	0.20	17857	56	n/a	2160	88	n/a	104	88	n/a	93	88	n/a	
61	5376	n/a	0	0	n/a	N	0	00	235	57.4	5.38	0.50	0.49	21909	48	n/a	2267	232	n/a	111	232	n/a	139	232	n/a	
62	5399	n/a	0	0	n/a	N	0	01	751	281	42.5	1.75	1.79	14807	608	n/a	3027	748	n/a	96	748	n/a	125	748	n/a	
63	5406	n/a	0	0	n/a	N	0	01	453	264	35.4	1.18	1.33	37275	316	n/a	6057	452	n/a	125	452	n/a	224	452	n/a	
64	5414	n/a	0	0	n/a	N	0	00	341	87.1	4.28	0.67	0.54	11484	24	n/a	663	340	n/a	82	340	n/a	75	340	n/a	
65	5552	n/a	0	0	n/a	N	0	11	1813	888	162	4.91	7.10	29688	1236	n/a	5402	1812	n/a	150	1812	n/a	302	1784	n/a	
66	5608	n/a	0	0	n/a	N	0	01	812	334	41.8	1.80	1.77	17778	640	n/a	2689	804	n/a	93	812	n/a	127	812	n/a	
67	5628	n/a	0	0	n/a	N	0	01	568	231	33.0	1.36	1.35	15963	504	n/a	2700	568	n/a	102	568	n/a	122	568	n/a	
68	5661	n/a	0	0	n/a	N	0	01	909	399	64.0	2.19	2.40	18780	736	n/a	3703	908	n/a	103	908	n/a	140	908	n/a	
69	5698	n/a	0	0	n/a	N	0	01	869	242	24.0	1.80	1.54	10857	176	n/a	1338	864	n/a	92	868	n/a	87	868	n/a	
70	5780	n/a	0	0	n/a	N	0	01	440	369	64.6	1.44	2.04	48312	408	n/a	8880	440	n/a	162	440	n/a	323	440	n/a	
71	5875	n/a	0	0	n/a	N	0	01	659	185	23.0	1.50	1.25	11544	164	n/a	1677	656	n/a	102	656	n/a	98	656	n/a	
72	5894	n/a	0	0	n/a	N	0	01	699	294	37.6	1.65	1.62	28510	540	n/a	5131	696	n/a	119	696	n/a	168	696	n/a	
73	5933	n/a	0	0	n/a	N	0	01	675	243	31.6	1.48	1.40	14470	520	n/a	2177	672	n/a	97	672	n/a	104	672	n/a	
74	6032	n/a	0	0	n/a	N	0	00	409	228	35.8	1.07	1.29	26459	312	n/a	6460	408	n/a	142	408	n/a	233	408	n/a	
75	6037	n/a	0	0	n/a	N	0	00	407	103	6.40	0.75	0.65	12279	88	n/a	899	404	n/a	81	404	n/a	78	404	n/a	
76	6118	n/a	0	0	n/a	N	0	00	476	139	12.7	0.99	0.80	12010	228	n/a	1288	476	n/a	88	476	n/a	82	476	n/a	
77	6273	n/a	0	0	n/a	N	0	01	1023	467	70.8	2.52	3.35	18103	916	n/a	4877	1020	n/a	117	1020	n/a	188	1020	n/a	
78	6364	n/a	0	0	n/a	N	0	00	392	119	11.9	0.77	0.76	21306	164	n/a	2234	392	n/a	92	392	n/a	112	392	n/a	
79	6459	n/a	0	0	n/a	N	0	00	478	123	10.4	0.85	0.72	9877	0	n/a	1127	476	n/a	82	476	n/a	84	476	n/a	
80	6472	n/a	0	0	n/a	N	0	01	479	283	59.0	1.42	2.10	29015	432	n/a	8352	476	n/a	133	476	n/a	213	476	n/a	
81	6529	n/a	0	0	n/a	N	0	01	676	457	88.9	2.05	2.87	53352	560	n/a	11768	672	n/a	221	676	n/a	478	676	n/a	
82	6547	n/a	0	0	n/a	N	0	01	971	437	64.8	2.26	2.58	18204	828	n/a	3048	968	n/a	97	968	n/a	138	968	n/a	
83	6561	n/a	0	0	n/a	N	0	00	253	138	13.2	0.61	0.64	28690	224	n/a	3319	252	n/a	106	252	n/a	141	252	n/a	
84	6573	n/a	0	0	n/a	N	0	00	215	111	4.33	0.42	0.58	24448	176	n/a	963	212	n/a	79	212	n/a	147	212	n/a	
85	6597	n/a	0	0	n/a	N	0	01	516	205	29.7	1.17	1.27	32794	296	n/a	6760	516	n/a	152	516	n/a	244	516	n/a	
86	6611	n/a	0	0	n/a	N	0	00	356	98.0	9.10	0.72	1.24	10304	20	n/a	1225	356	n/a	85	356	n/a	176	356	n/a	
