Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	104	n/a	0	0	n/a	N	0	00	450	128	12.3	0.95	0.86	11318	156	n/a	1576	448	n/a	93	448	n/a	106	448	n/a	
2	170	n/a	0	0	n/a	N	0	00	310	61.5	3.35	0.60	0.69	7994	0	n/a	582	308	n/a	77	308	n/a	136	308	n/a	
3	179	n/a	0	0	n/a	N	0	00	119	59.7	6.32	0.30	0.30	23359	92	n/a	2825	116	n/a	113	116	n/a	122	116	n/a	
4	198	n/a	0	0	n/a	N	0	11	1259	951	183	4.08	6.52	44104	1172	n/a	6421	1256	n/a	160	1256	n/a	339	1240	n/a	
5	320	n/a	0	0	n/a	N	0	00	108	40.1	3.65	0.25	0.26	16936	72	n/a	1808	108	n/a	92	108	n/a	110	108	n/a	
6	345	n/a	0	0	n/a	N	0	01	596	181	25.1	1.32	1.20	12781	264	n/a	2735	596	n/a	92	596	n/a	102	596	n/a	
7	379	n/a	0	0	n/a	N	0	01	645	578	131	2.49	4.09	54038	584	n/a	19540	644	n/a	304	644	n/a	514	644	n/a	
8	391	n/a	0	0	n/a	N	0	00	69	13.1	1.33	0.13	0.16	7983	0	n/a	1049	68	n/a	83	68	n/a	107	68	n/a	
9	610	n/a	0	0	n/a	N	0	01	568	217	31.1	1.42	1.37	34838	248	n/a	5744	568	n/a	142	568	n/a	220	568	n/a	
10	813	n/a	0	0	n/a	N	0	00	446	112	5.18	0.88	0.72	9945	0	n/a	761	444	n/a	83	444	n/a	73	444	n/a	
11	854	n/a	0	0	n/a	N	0	01	1206	557	119	3.14	3.53	21247	1068	n/a	5474	1192	n/a	122	1204	n/a	223	1180	n/a	
12	1014	n/a	0	0	n/a	N	0	01	846	281	39.5	1.85	1.89	13847	548	n/a	2496	844	n/a	96	844	n/a	144	844	n/a	
13	1068	n/a	0	0	n/a	N	0	11	2054	1992	243	6.74	17.7	42589	1872	n/a	6237	2016	n/a	167	2052	n/a	610	1880	n/a	
14	1220	n/a	0	0	n/a	N	0	01	854	268	37.1	1.77	1.72	13332	544	n/a	2601	848	n/a	91	852	n/a	111	852	n/a	
15	1224	n/a	0	0	n/a	N	0	11	2004	1684	233	6.34	15.0	36116	1880	n/a	7063	2004	n/a	161	2004	n/a	577	1940	n/a	
16	1258	n/a	0	0	n/a	N	0	11	1540	1680	242	5.91	17.5	57006	1512	n/a	13495	1540	n/a	284	1540	n/a	1101	1524	n/a	
17	1278	n/a	0	0	n/a	N	0	01	1455	419	60.4	2.95	2.54	12135	492	n/a	2530	1452	n/a	96	1452	n/a	91	1452	n/a	
